,Rank,Name of movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,URL,Movie_Rating_bin,metascore_bin,watchtime_bin,Cast1,Cast2,Cast3,Cast4,Adventure,Music,Action,Fantasy,Thriller,War,Biography,Mystery,Comedy,Sport,Horror,Film-Noir,Romance,Family,Musical,Western,Sci-Fi,Drama,Crime,History,Animation,watchtime_minmax,gross_minmax,watchtime_standard,gross_standard
0,1,The Shawshank Redemption,1994-01-01,142,9.3,82.0,"2,727,631",28.34,course several year two convict form friendship seeking consolation eventually redemption basic compassion,Frank Darabont,https://www.imdb.com/title/tt0111161/,excellent,excellent,long,['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3514492753623188,0.03300479985087842,0.36536870267111105,-0.4178614455092554
1,2,The Godfather,1972-01-01,175,9.2,100.0,"1,896,311",134.97,aging patriarch organized crime dynasty postwar new york city transfer control clandestine empire reluctant youngest son,Francis Ford Coppola,https://www.imdb.com/title/tt0068646/,excellent,excellent,long,['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4710144927536232,0.1572300666387064,1.4318083973594757,0.4485248411726049
2,3,The Dark Knight,2008-01-01,152,9.0,84.0,"2,700,599",534.86,menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice,Christopher Nolan,https://www.imdb.com/title/tt0468569/,excellent,excellent,long,['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38768115942028986,0.6231068549326623,0.68853224651607,3.697696858252312
3,4,Schindler's List,1993-01-01,195,9.0,95.0,"1,377,359",96.9,germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazi,Steven Spielberg,https://www.imdb.com/title/tt0108052/,excellent,excellent,long,['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5434782608695652,0.112878046507293,2.078135485049394,0.13919983006899037
4,5,The Lord of the Rings: The Return of the King,2003-01-01,201,9.0,94.0,"1,876,441",377.85,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring,Peter Jackson,https://www.imdb.com/title/tt0167260/,excellent,excellent,long,['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5652173913043479,0.4401882659956196,2.272033611356369,2.421964785928211
5,6,12 Angry Men,1957-01-01,96,9.0,97.0,"806,817",4.36,jury new york city murder trial frustrated single member whose skeptical caution force carefully consider evidence jumping hasty verdict,Sidney Lumet,https://www.imdb.com/title/tt0050083/,excellent,excellent,medium,['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.18478260869565216,0.005067803718719418,-1.1211835990157004,-0.6127028893302346
6,7,The Godfather Part II,1974-01-01,202,9.0,90.0,"1,293,123",57.3,early life career vito corleone 1920s new york city portrayed son michael expands tightens grip family crime syndicate,Francis Ford Coppola,https://www.imdb.com/title/tt0071562/,excellent,excellent,long,['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.568840579710145,0.0667435574817093,2.3043499657408653,-0.18255668266290195
7,8,Pulp Fiction,1994-01-01,154,8.9,95.0,"2,095,557",107.93,life two mob hitman boxer gangster wife pair diner bandit intertwine four tale violence redemption,Quentin Tarantino,https://www.imdb.com/title/tt0110912/,excellent,excellent,long,['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3949275362318841,0.12572813271820682,0.7531649552850619,0.22882039409507046
8,9,Inception,2010-01-01,148,8.8,74.0,"2,396,929",292.58,thief steal corporate secret use dreamsharing technology given inverse task planting idea mind ceo tragic past may doom project team disaster,Christopher Nolan,https://www.imdb.com/title/tt1375666/,excellent,very good,long,['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3731884057971015,0.3408476629852276,0.5592668289780864,1.7291320121744618
9,10,The Lord of the Rings: The Fellowship of the Ring,2001-01-01,178,8.8,92.0,"1,905,503",315.54,meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron,Peter Jackson,https://www.imdb.com/title/tt0120737/,excellent,excellent,long,['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48188405797101447,0.36759634652127315,1.5287574605129635,1.915685788243256
10,11,Fight Club,1999-01-01,139,8.8,66.0,"2,170,698",37.03,insomniac office worker devilmaycare soap maker form underground fight club evolves much,David Fincher,https://www.imdb.com/title/tt0137523/,excellent,very good,long,['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.34057971014492755,0.04312875716482595,0.2684196395176233,-0.3472537663264235
11,12,Forrest Gump,1994-01-01,142,8.8,82.0,"2,121,805",330.25,presidency kennedy johnson vietnam war watergate scandal historical event unfold perspective alabama man iq 75 whose desire reunited childhood sweetheart,Robert Zemeckis,https://www.imdb.com/title/tt0109830/,excellent,excellent,long,['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3514492753623188,0.38473367817698867,0.36536870267111105,2.035206957492906
12,13,The Lord of the Rings: The Two Towers,2002-01-01,179,8.8,87.0,"1,694,030",342.55,frodo sam edge closer mordor help shifty gollum divided fellowship make stand saurons new ally saruman horde isengard,Peter Jackson,https://www.imdb.com/title/tt0167261/,excellent,excellent,long,['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4855072463768116,0.3990633300712988,1.5610738148974594,2.135146480386903
13,14,"Il buono, il brutto, il cattivo",1966-01-01,161,8.8,90.0,"773,210",6.1,bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemetery,Sergio Leone,https://www.imdb.com/title/tt0060196/,excellent,excellent,long,['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4202898550724638,0.007094925206207185,0.9793794359765332,-0.5985651031647424
14,15,Jai Bhim,2021-01-01,164,8.8,83.0,"205,684",235.0,tribal man arrested case alleged theft wife turn humanrights lawyer help bring justice,T.J. Gnanavel,https://www.imdb.com/title/tt15097216/,excellent,excellent,long,['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.43115942028985504,0.2737662519222704,1.0763284991300208,1.26128504239915
